Original,Translate_IT
Sì tosto come l'ultima parola,Non appena avro' l'ultima parola...
"la benedetta fiamma per dir tolse,",Quello che e' uscito da quella fiamma celeste...
a rotar cominciò la santa mola;,Cominciarono a rotolare il mulino guaritore in cerchio.
e nel suo giro tutta non si volse,Ma in ogni caso...
"prima ch'un'altra di cerchio la chiuse,","Era circondata da una seconda corona,"
e moto a moto e canto a canto colse;,Intervento ballo in danza e Sang in Sang;
"canto che tanto vince nostre muse,","Sang, hold, in questo ballo radiologico,"
"nostre serene in quelle dolci tube,",Le nostre muse e sirene canzoni
quanto primo splendor quel ch'e' refuse.,Come il riflesso del primo splendore.
Come si volgon per tenera nube,"Come una volta che guarda facilmente l'azzurro,"
"due archi paralelli e concolori,","Due fogli dello stesso colore, dello stesso tipo,"
"quando Iunone a sua ancella iube,","Se Juno ordina alla sua cameriera, vedra'..."
"nascendo di quel d'entro quel di fori,",Generata dall'interno di colui che gli si è trasferito.
a guisa del parlar di quella vaga,"Alla parola di coloro che amano,"
"ch'amor consunse come sol vapori,","Come l'acutezza del sole, l'acutezza, l'asfissia"
"e fanno qui la gente esser presaga,","Gli arco, che dopo il diluvio generale"
"per lo patto che Dio con Noè puose,",Il Signore a Noè mostrò la prova
del mondo che già mai più non s'allaga:,l'alleanza attraverso la quale la terra riposa in sicurezza;
così di quelle sempiterne rose,Così ora girava intorno a noi allo stesso modo
"volgiensi circa noi le due ghirlande,","Le rose eterne della bella doppia corona,"
e sì l'estrema a l'intima rispuose.,Così l'esterno assomigliava al cerchio interno.
"Poi che 'l tripudio e l'altra festa grande,","E per l'ultima volta, il ballo festoso e gioioso..."
sì del cantare e sì del fiammeggiarsi,"Il piacere del canto che fluttua le fiamme,"
"luce con luce gaudïose e blande,","Uno specchio nell'altro splendore,"
"insieme a punto e a voler quetarsi,","Si calmò in un sol colpo, con la stessa ambizione,"
pur come li occhi ch'al piacer che i move,"Come gli occhi, se gli piace,"
conviene insieme chiudere e levarsi;,"Colui che li muove, li chiude e li solleva;"
del cor de l'una de le luci nove,"suono dal cerchio, illuminato da una nuova luce,"
"si mosse voce, che l'ago a la stella","Un suono che mi ha fatto girare così in fretta,"
parer mi fece in volgermi al suo dove;,Come il magnete si muove verso le stelle.
e cominciò: “L'amor che mi fa bella,"Rispose: ""L'amore che mi trasfigurava,"
mi tragge a ragionar de l'altro duca,E' la seconda volta che mi chiamano...
per cui del mio sì ben ci si favella.,Con il quale si fa così alto il mio onore.
"Degno è che, dov'è l'un, l'altro s'induca:","Di un altro si parla di chi loda un altro,"
"sì che, com'elli ad una militaro,","La loro fama si brilla insieme, come litigavano"
così la gloria loro insieme luca.,Per uno scopo e con lo stesso spirito coraggioso.
"L'essercito di Cristo, che sì caro","l'esercito del Salvatore, per il quale ha sofferto duramente,"
"costò a rïarmar, dietro a la 'nsegna","Colui che è stato ribellato, ha tratto dubbio e pieno di dolore"
"si movea tardo, sospeccioso e raro,","Seguire la bandiera, debole e con passi lenti,"
quando lo 'mperador che sempre regna,"Come egli, che regna nel tempo e nell'eternità,"
"provide a la milizia, ch'era in forse,","Aiutava i guerrieri che erano in pericolo,"
"per sola grazia, non per esser degna;",Da Gnad e non se la loro dignità;
"e, come è detto, a sua sposa soccorse","E, come ho detto, per salvare la sua sposa."
"con due campioni, al cui fare, al cui dire",Due combattenti chiamati dalla loro parola e azione
lo popol disvïato si raccorse.,Sono state raccolte le folle disperse.
In quella parte ove surge ad aprire,Da dove scava lo zefiro per raggiungere la Gestad
Zefiro dolce le novelle fronde,"In valle e Au i germogli sono felici di gonfiare,"
"di che si vede Europa rivestire,","Quando la Lenz si avvicina all'Europa nella gioielleria,"
non molto lungi al percuoter de l'onde,"Là, vicino alla spiaggia, dove onde torrenziali"
"dietro a le quali, per la lunga foga,","Lontano da lontano, combattuto dalla rabbia della tempesta..."
"lo sol talvolta ad ogne uom si nasconde,","Il raggio di sole si contrappone spesso,"
siede la fortunata Calaroga,"C'è la piazza dove si trova Callaroga,"
sotto la protezion del grande scudo,"Protetto e coperto dal grande scudo,"
in che soggiace il leone e soggioga:,Su cui il Leu vince e sottomette.
dentro vi nacque l'amoroso drudo,Là è stato generato in un felice feudo
"de la fede cristiana, il santo atleta","La fede, l'atleta,"
benigno a' suoi e a' nemici crudo;,"Per il nemico un grigio, il suo pieno di mitezza."
"e come fu creata, fu repleta","Al fantasma, appena creato, è stato svelato"
"sì la sua mente di viva vertute,","Forza dello Spirito Supremo e dono alto,"
"che, ne la madre, lei fece profeta.","E non nato, era già probbeto."
Poi che le sponsalizie fuor compiute,Quando la fede si diffondeva sul ragazzo...
"al sacro fonte intra lui e la Fede,","Il prodigio, bagnato dalla sorgente curativa,"
"u' si dotar di mutüa salute,","Dov'è la salvezza dell'aldilà il dono del mattino,"
"la donna che per lui l'assenso diede,","Allora fu sostituita la Testimone, la Sua Sì,"
vide nel sonno il mirabile frutto,"Già del frutto miracoloso che gli fu dato,"
ch'uscir dovea di lui e de le rede;,"E la sua scuola, con la faccia da sogno."
"e perché fosse qual era in costrutto,","E che ciò che era si rivelasse,"
quinci si mosse spirito a nomarlo,"comandamento di uno spirito mandato dal cielo,"
del possessivo di cui era tutto.,"Che dopo di lui, che lo possedeva, si chiamava lui."
Domenico fu detto; e io ne parlo,Domenico lo chiamava...
sì come de l'agricola che Cristo,"Il giardiniere che, come aiutante, Cristo"
elesse a l'orto suo per aiutarlo.,Scegliere per il suo giardino e unirsi.
Ben parve messo e famigliar di Cristo:,"Sembrava un messaggero e un fedele servitore di Cristo,"
"ché 'l primo amor che 'n lui fu manifesto,","Come testimonia ciò che amava per primo,"
fu al primo consiglio che diè Cristo.,Poiché egli eseguì il primo consiglio di Cristo.
Spesse fïate fu tacito e desto,"L'ha trovato spesso quello che l'ha allattato,"
"trovato in terra da la sua nutrice,","sdraiato sul pavimento, sveglio, in silenzio profondo,"
come dicesse: 'Io son venuto a questo'.,"Come se dicesse: ""Sono nato per questo."""
Oh padre suo veramente Felice!,"O tu, suo padre, Felice vero e proprio!"
"oh madre sua veramente Giovanna,","O Madre, quando Giovanni fiorisce veramente,"
"se, interpretata, val come si dice!",Se saliamo fino alla radice del nome!
"Non per lo mondo, per cui mo s'affanna","Non per il mondo per il quale ci sforziamo ora,"
"di retro ad Ostïense e a Taddeo,","Secondo l'insegnamento di Ostia, Taddeo,"
ma per amor de la verace manna,"No, per la vera manna ardente,"
in picciol tempo gran dottor si feo;,Fategli fare il maestro...
tal che si mise a circüir la vigna,"Coltivando la vigna che presto porta le zizzanie,"
"che tosto imbianca, se 'l vignaio è reo.",A meno che la mano del vignaiolo non gli dia una forte resistenza.
E a la sedia che fu già benigna,"Dalla sedia, che un tempo misericordiosava i poveri..."
"più a' poveri giusti, non per lei,","Una volta, non per colpa della Sede, per i suoi peccati"
"ma per colui che siede, che traligna,","Egli siede e colpisce dalla natura dei padri,"
"non dispensare o due o tre per sei,","Egli non chiese decimi, né covoni grassi,"
"non la fortuna di prima vacante,","No permesso, scarico e salvezza per denaro,"
non,"A tre e quattro per tre, per annunciare;"
",","No, per combattere con il mondo pazzo,"
"addimandò, ma contro al mondo errante","Per mezzo di quel seme che sgorga dall'albero,"
licenza di combatter per lo seme,"Quelle, due volte dodici, si sono messe intorno a te,"
del qual ti fascian ventiquattro piante.,"compiere i doveri dell'apostolo,"
"Poi, con dottrina e con volere insieme,","Cercate il suo volere e la sua scienza,"
con l'officio appostolico si mosse,Correnti come quelli che saltano dalla vena profonda.
quasi torrente ch'alta vena preme;,E le sue onde cadde spaventosamente
e ne li sterpi eretici percosse,"Sull'eretica boscaglia di evadere,"
"l'impeto suo, più vivamente quivi",E con la resistenza la loro forza cresceva.
dove le resistenze eran più grosse.,"Diede allora l'origine di alcuni ruscelli,"
Di lui si fecer poi diversi rivi,"Passeggiano per la chiesa di Giardinaggio,"
"onde l'orto catolico si riga,",Dromati i loro alberi promettono un frutto più bello.
sì che i suoi arbuscelli stan più vivi.,Se c'era una ruota del carro da guerra...
Se tal fu l'una rota de la biga,"In cui la battaglia ha osato la chiesa sana,"
in che la Santa Chiesa si difese,Quando ha vinto gli ammutinati interni...
"e vinse in campo la sua civil briga,","Ora, come mai l'altro ti è venuto in mente?"
ben ti dovrebbe assai esser palese,"Inconsapevolezza, essere perfettamente chiaro,"
"l'eccellenza de l'altra, di cui Tomma",E quello che ti ha detto Thomas del bene.
dinanzi al mio venir fu sì cortese.,"Il binario da solo non regge nessuno,"
Ma l'orbita che fé la parte somma,"Che ha segnato il fondo dello slancio della ruota,"
"di sua circunferenza, è derelitta,","E l'aceto, che è stato un vino dolce."
sì ch'è la muffa dov'era la gromma.,"La moltitudine che seguiva le sue tracce,"
"La sua famiglia, che si mosse dritta",Ora i piedi si sono rivolti completamente
"coi piedi a le sue orme, è tanto volta,",E tornate dove si muoveva.
che quel dinanzi a quel di retro gitta;,"Quanto è cattivo il seme, presto saprete,"
e tosto si vedrà de la ricolta,Poiché alla mietitura si raccoglie il grano
"de la mala coltura, quando il loglio","E incasinato, ma il lollo bruciato."
si lagnerà che l'arca li sia tolta.,"Anche se si vuole leggere il libro foglio per foglio,"
"Ben dico, chi cercasse a foglio a foglio","Il nostro nome mostra, dice un foglio"
"nostro volume, ancor troveria carta",Ancora qui e là: sono quello che sono stato.
"u' leggerebbe ""I' mi son quel ch'i' soglio"";","Ma non Casal, né Aqu asparta ha"
"ma non fia da Casal né d'Acquasparta,","Alle stesse membra della nostra schiera,"
"là onde vegnon tali a la scrittura,","Perche' e' troppo severo, troppo debole e matto."
ch'uno la fugge e altro la coarta.,"Ora sappi che sono la vita di Buonaventura,"
Io son la vita di Bonaventura,"Da Bagnoregio, e poco apparve"
"da Bagnoregio, che ne' grandi offici","Per il grande ufficio, ogni altra ambizione."
sempre pospuosi la sinistra cura.,Sono Jilluminat e Augustin.
"Illuminato e Augustin son quici,","Due delle prime schiere a piedi nudi,"
che fuor de' primi scalzi poverelli,Quelli che prosperano per la corda nella grazia di Dio.
che nel capestro a Dio si fero amici.,Ecco quello di San Viktor...
"Ugo da San Vittore è qui con elli,","E Mangiador, lo spagnolo Peter,"
"e Pietro Mangiadore e Pietro Spano,",La gloria del mondo rivela dodici libri.
lo qual giù luce in dodici libelli;,"Nathan il veggente, Arcivescovo Johann,"
Natàn profeta e 'l metropolitano,"Anselmo, Donata, che si consacrò all'opera,"
Crisostomo e Anselmo e quel Donato,Che può toccare la prima arte.
ch'a la prim'arte degnò porre mano.,"Ruban è qui, e questi fratelli rimproverò"
"Rabano è qui, e lucemi dallato","A se stesso, dotato di spirito veggente"
il calavrese abate Giovacchino,"Abate Joachim, aiutatemi."
di spirito profetico dotato.,"Quando tali guerrieri esaltano il mio discorso,"
